entry_time,exit_time,direction,entry_price,sl,tp,exit_price,outcome,pnl_gross,cost,pnl_net,rr_actual,result,capital,trend_1d,rsi,rsi_ma
2025-08-31 22:00:00,2025-08-31 23:00:00,LONG,4470.01,4455.03,4694.71,4455.03,SL,-169.09,50.37,-219.46,-1.3,LOSS,8234.9,bullish,55.09,58.21
2025-09-01 04:00:00,2025-09-01 05:00:00,LONG,4404.15,4387.59,4652.55,4387.59,SL,-164.7,43.72,-208.42,-1.27,LOSS,8026.48,bullish,44.21,50.82
2025-09-01 13:00:00,2025-09-01 14:00:00,LONG,4403.21,4392.83,4558.91,4392.83,SL,-107.85,45.7,-153.55,-1.42,LOSS,7872.93,bullish,45.8,45.84
2025-09-01 19:00:00,2025-09-01 20:00:00,LONG,4346.93,4323.15,4703.63,4323.15,SL,-157.46,28.7,-186.16,-1.18,LOSS,7686.77,bullish,39.93,45.1
2025-09-01 23:00:00,2025-09-02 19:00:00,LONG,4284.56,4261.61,4628.81,4261.61,SL,-153.74,28.62,-182.36,-1.19,LOSS,7504.41,bullish,36.12,41.1
2025-09-02 21:00:00,2025-09-04 18:00:00,LONG,4313.12,4274.41,4893.77,4274.41,SL,-150.09,16.65,-166.74,-1.11,LOSS,7337.67,bullish,46.25,46.74
2025-09-05 16:00:00,2025-09-05 17:00:00,LONG,4283.4,4273.61,4430.25,4273.61,SL,-95.59,41.78,-137.37,-1.44,LOSS,7200.3,bullish,39.68,53.75
2025-09-05 19:00:00,2025-09-05 21:00:00,LONG,4312.94,4289.99,4657.19,4289.99,SL,-144.01,26.99,-171.0,-1.19,LOSS,7029.31,bullish,44.63,52.93
2025-09-05 23:00:00,2025-09-06 05:00:00,LONG,4313.0,4296.9,4554.5,4296.9,SL,-140.59,37.59,-178.18,-1.27,LOSS,6851.13,bullish,45.55,50.3
2025-09-06 07:00:00,2025-09-06 09:00:00,LONG,4302.62,4295.01,4416.77,4295.01,SL,-69.07,39.02,-108.09,-1.56,LOSS,6743.04,bullish,44.4,45.42
2025-09-06 11:00:00,2025-09-06 12:00:00,LONG,4300.95,4293.0,4420.2,4293.0,SL,-71.04,38.4,-109.44,-1.54,LOSS,6633.6,bullish,44.77,45.34
2025-09-08 19:00:00,2025-09-08 20:00:00,LONG,4329.72,4311.47,4603.47,4311.47,SL,-132.67,31.41,-164.08,-1.24,LOSS,6469.52,bullish,54.02,55.98
2025-09-10 21:00:00,2025-09-11 06:00:00,LONG,4329.94,4322.71,4438.39,4438.39,TP,923.62,37.34,886.28,14.39,WIN,7355.8,bullish,47.03,58.48
2025-09-11 22:00:00,2025-09-12 17:00:00,LONG,4429.23,4417.28,4608.48,4608.48,TP,1696.82,42.78,1654.04,14.62,WIN,9009.84,bullish,58.57,60.78
2025-09-13 18:00:00,2025-09-14 12:00:00,LONG,4634.09,4623.66,4790.54,4623.66,SL,-115.59,51.3,-166.89,-1.44,LOSS,8842.96,bullish,43.85,62.31
